sname,birth,earliestbirth,latestbirth,
CAD,2000-09-23,2000-09-23,2000-09-23,
CHE,1983-07-05,1983-07-05,1983-07-05,
DOD,2001-08-15,2001-08-15,2001-08-15,
DRO,1989-09-13,1989-09-13,1989-09-13,
DUD,1983-07-05,1983-07-05,1983-07-05,
DUX,1995-10-10,1995-09-27,1995-11-09,**
FED,1989-10-25,1989-10-25,1989-10-25,
HEK,1983-09-03,1983-09-03,1983-09-03,
KAT,1981-03-09,1981-03-09,1981-03-09,
LOC,1994-10-01,1994-10-01,1994-10-01,
NYA,1983-12-11,1983-12-11,1983-12-11,
PEB,1998-09-13,1998-09-13,1998-09-13,
SOU,1992-06-15,1992-05-29,1992-06-20,**
WAG,1989-09-01,1989-09-01,1989-09-01,