sname,birth,earliestbirth,latestbirth,sex,mom,dad
CAD,2000-09-23,2000-09-23,2000-09-23,M,LOC,VAN
CHE,1983-07-05,1983-07-05,1983-07-05,F,CET,
DOD,2001-08-15,2001-08-15,2001-08-15,M,DUN,
DRO,1989-09-13,1989-09-13,1989-09-13,F,DUD,NEP
DUD,1983-07-05,1983-07-05,1983-07-05,F,DOT,
DUX,1995-10-10,1995-09-27,1995-11-09,F,DRO,EDW
FED,1989-10-25,1989-10-25,1989-10-25,F,FUM,NEP
HEK,1983-09-03,1983-09-03,1983-09-03,F,HAN,
KAT,1981-03-09,1981-03-09,1981-03-09,F,KUP,
LOC,1994-10-01,1994-10-01,1994-10-01,F,LIM,DEN
NYA,1983-12-11,1983-12-11,1983-12-11,F,NAZ,
PEB,1998-09-13,1998-09-13,1998-09-13,F,PRU,ROC
SOU,1992-06-15,1992-05-29,1992-06-20,F,SAN,NEP
WAG,1989-09-01,1989-09-01,1989-09-01,F,WHI,FAT